Radeon Pro555X,2018-07-21,1.393000000000000000e+03,8.700000000000000000e+01
Radeon Pro560X,2018-07-21,2.056000000000000000e+03,1.280000000000000000e+02
Radeon ProWX 8200,2018-08-21,1.096700000000000000e+04,6.850000000000000000e+02
Radeon RX 590,2018-11-15,7.120000000000000000e+03,4.448999999999999773e+02
Radeon Instinct MI60,2018-11-21,1.472500000000000000e+04,7.362500000000000000e+03
Radeon VegaPro 20,2018-11-21,3.047000000000000000e+03,1.904000000000000057e+02
Radeon VegaPro 16,2018-11-21,2.437000000000000000e+03,1.523000000000000114e+02
Radeon Instinct MI50,2018-11-21,1.330000000000000000e+04,6.600000000000000000e+03
Radeon VII,2019-02-07,1.382400000000000000e+04,3.458500000000000000e+03
Radeon RX 5700,2019-07-07,7.949000000000000000e+03,4.968000000000000114e+02
Radeon RX 5700 XT,2019-07-07,9.946000000000000000e+03,6.216000000000000227e+02
Radeon ProWX 3200,2019-07-21,1.660000000000000000e+03,1.040000000000000000e+02
Radeon RX 5500,2019-10-07,5.196000000000000000e+03,3.246999999999999886e+02
Radeon RX 5300 XT,2019-10-07,5.196000000000000000e+03,3.246999999999999886e+02
Radeon Pro Vega II,2019-11-21,1.420000000000000000e+04,8.800000000000000000e+02
Radeon Pro5300M,2019-11-21,3.200000000000000000e+03,2.000000000000000000e+02
Radeon Pro5500M,2019-11-21,4.000000000000000000e+03,2.500000000000000000e+02
Radeon RX 5600,2020-01-21,6.390000000000000000e+03,3.993999999999999773e+02
Radeon RX 5600 XT,2020-01-21,8.066000000000000000e+03,5.040000000000000000e+02
Radeon RX 590 GME,2020-03-09,6.359000000000000000e+03,3.973999999999999773e+02
Radeon Pro5600M,2020-06-21,5.300000000000000000e+03,3.310000000000000000e+02
Radeon RX 5300,2020-08-28,4.632000000000000000e+03,2.895000000000000000e+02
AMD Instinct MI100,2020-11-12,2.310000000000000000e+04,1.150000000000000000e+04
Radeon RX 6800 XT,2020-11-18,2.073600000000000000e+04,1.296000000000000000e+03
Radeon RX 6800,2020-11-18,1.616600000000000000e+04,1.010000000000000000e+03
Radeon RX 6900 XT,2020-12-08,2.304000000000000000e+04,1.440000000000000000e+03
Radeon RX 6700 XT,2021-03-18,1.321500000000000000e+04,8.258999999999999773e+02
Radeon RX 6600 XT,2021-08-11,1.060500000000000000e+04,6.627999999999999545e+02
Radeon RX 6600,2021-10-13,8.928000000000000000e+03,5.580000000000000000e+02
AMD Instinct MI250,2021-11-08,4.530000000000000000e+04,4.530000000000000000e+04
AMD Instinct MI250X,2021-11-08,4.790000000000000000e+04,4.790000000000000000e+04
